Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers,dilation
efficientvit_l1.r224_in1k_CAA,59,0,0.65,0.6416666666666670,0.6111111111111110,0.6083333333333330,0.4,0.6666666666666670,0.5,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,1,0.85,0.8737012987012990,0.8888888888888890,0.8728340080971660,0.7857142857142860,0.9090909090909090,0.8,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,2,0.75,0.7454545454545460,0.7572916666666670,0.7234848484848480,0.36363636363636400,0.8181818181818180,0.8,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,3,0.9,0.8831168831168830,0.8878787878787880,0.8836952521163050,0.7142857142857140,0.8181818181818180,1.0,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,4,0.675,0.6655844155844160,0.6705128205128210,0.6519607843137260,0.7272727272727270,0.36363636363636400,0.5714285714285710,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,5,0.875,0.8295454545454550,0.85,0.8335858585858590,0.5,1.0,0.8181818181818180,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,6,0.75,0.7795454545454550,0.7788461538461540,0.7695652173913040,0.5,0.8,0.8181818181818180,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,7,0.825,0.8482905982905980,0.8503472222222220,0.840166639168454,0.7777777777777780,0.6153846153846150,1.0,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,8,0.775,0.71875,0.780952380952381,0.7298976608187130,0.6666666666666670,0.3333333333333330,0.875,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,9,0.65,0.5902777777777780,0.572829131652661,0.5622236958443860,0.5,0.1111111111111110,0.75,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
efficientvit_l1.r224_in1k_CAA,59,Average,0.7700000000000000,0.7575933094683090,0.7648658163731690,0.7475747298154090,0.5935353535353540,0.6435586635586640,0.7932792207792210,1.0,6.392406047274E-05,0.1,1024,2048,FCE,2,"(1,2,None)"
