Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers,dilation
efficientvit_l1.r224_in1k_CAGA,59,0,0.8,0.7666666666666670,0.7636217948717950,0.7619047619047620,0.7333333333333330,0.5,0.8333333333333330,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,1,0.75,0.8094155844155840,0.8281746031746030,0.7902709359605910,0.42857142857142900,0.9090909090909090,0.9,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,2,0.9,0.9090909090909090,0.9006410256410260,0.8961323763955340,0.7272727272727270,0.9090909090909090,1.0,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,3,0.875,0.8553391053391050,0.8866883116883120,0.8641458444090020,0.7142857142857140,0.8181818181818180,0.8888888888888890,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,4,0.8,0.8051948051948050,0.7972222222222220,0.7931372549019610,0.7272727272727270,0.6363636363636360,0.8571428571428570,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,5,0.85,0.8712121212121210,0.8434343434343430,0.845021645021645,1.0,0.6666666666666670,0.8181818181818180,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,6,0.65,0.6837121212121210,0.7222222222222220,0.6756402500504130,0.4166666666666670,0.5,0.8181818181818180,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,7,0.925,0.9166666666666670,0.953125,0.9241379310344830,0.6666666666666670,1.0,1.0,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,8,0.875,0.8697916666666670,0.8980769230769230,0.8655254908430950,1.0,0.6666666666666670,0.8125,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,9,0.75,0.6944444444444440,0.7083333333333330,0.6935185185185180,0.5,0.4444444444444440,0.8333333333333330,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_CAGA,59,Average,0.8175000000000000,0.8181534090909090,0.830153977966478,0.8109435009040010,0.6914069264069270,0.7050505050505050,0.876156204906205,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
