Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers,dilation
efficientvit_l1.r224_in1k_nocascading,59,0,0.825,0.8833333333333330,0.8238636363636360,0.8146693459992690,0.5333333333333330,1.0,1.0,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,1,0.85,0.875974025974026,0.8706293706293710,0.8725348725348730,0.7857142857142860,0.8181818181818180,0.9,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,2,0.825,0.8136363636363640,0.8333333333333330,0.8005964623611680,0.5454545454545450,0.9090909090909090,0.8,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,3,0.85,0.8455988455988460,0.839781746031746,0.8346734892787520,0.8571428571428570,0.6363636363636360,0.8888888888888890,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,4,0.8,0.7922077922077920,0.8135683760683760,0.7981047937569680,0.7272727272727270,0.7272727272727270,0.7142857142857140,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,5,0.85,0.8276515151515150,0.85,0.830896686159844,0.6666666666666670,0.9166666666666670,0.7272727272727270,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,6,0.7,0.7212121212121210,0.7638888888888890,0.7206486042692940,0.6666666666666670,0.4,0.8181818181818180,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,7,0.775,0.8012820512820510,0.7976190476190480,0.7988888888888890,0.6666666666666670,0.6153846153846150,0.9230769230769230,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,8,0.925,0.953125,0.9142857142857140,0.9285913723300290,1.0,1.0,0.8125,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,9,0.75,0.7291666666666670,0.7371031746031750,0.7051282051282050,0.8333333333333330,0.3333333333333330,0.75,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
efficientvit_l1.r224_in1k_nocascading,59,Average,0.8150000000000000,0.8243187715062710,0.8244073287823290,0.810473272070729,0.7282251082251080,0.7356293706293710,0.8334206071706070,1.0,5.82406047274E-05,0.1,1024,2048,FCE,2,"(1,2)"
