Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers
deit3_medium_patch16_224,59,0,0.95,0.9666666666666670,0.9375,0.9464285714285710,0.8666666666666670,1.0,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,1,0.925,0.9366883116883120,0.9423076923076920,0.9331320450885670,0.9285714285714290,0.8181818181818180,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,2,0.95,0.9272727272727270,0.9272727272727270,0.9272727272727270,0.9090909090909090,1.0,0.8,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,3,0.925,0.9166666666666670,0.9236111111111110,0.9078804347826090,1.0,1.0,0.6666666666666670,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,6,0.925,0.9356060606060610,0.9356060606060610,0.9327592697157910,0.8333333333333330,1.0,0.9090909090909090,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,8,0.925,0.953125,0.9295454545454550,0.9359800362976410,1.0,1.0,0.8125,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,59,9,0.975,0.9722222222222220,0.9807692307692310,0.9752941176470590,1.0,0.8888888888888890,1.0,1.0,5.45672787E-05,0.01,512,1024,CE,2
deit3_medium_patch16_224,Average,0.9575000000000000,0.9608247655122650,0.9576612276612280,0.9558747202232960,0.9537662337662340,0.9707070707070710,0.9188257575757580,1.0,5.45672787E-05,0.01,512,1024,CE,2,
