Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers
efficientvit_l1.r224_in1k_mymodel,59,0,0.95,0.9666666666666670,0.9375,0.9464285714285710,0.8666666666666670,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,1,0.975,0.9821428571428570,0.9791666666666670,0.9798711755233500,0.9285714285714290,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,2,0.975,0.95,0.9791666666666670,0.961352657004831,1.0,1.0,0.8,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,3,0.95,0.9545454545454550,0.9545454545454550,0.95,1.0,0.8181818181818180,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,6,0.975,0.975,0.9807692307692310,0.9768421052631580,1.0,0.9,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,7,0.975,0.9722222222222220,0.9821428571428570,0.9760348583878000,0.8888888888888890,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,8,0.95,0.96875,0.95,0.957017543859649,1.0,1.0,0.875,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,9,0.975,0.9583333333333330,0.9807692307692310,0.9672727272727270,0.8333333333333330,1.0,1.0,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
efficientvit_l1.r224_in1k_mymodel,59,Average,0.9725000000000000,0.9727660533910540,0.9744060106560110,0.9714819638740090,0.9517460317460320,0.9718181818181820,0.9675,1.0,6.134047274E-05,0.01,3072,3200,FCE,2
