Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers
vit_base_patch16_224,59,0,0.975,0.9833333333333330,0.9642857142857140,0.9721485411140590,0.9333333333333330,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,1,0.975,0.9821428571428570,0.9772727272727270,0.9788359788359790,0.9285714285714290,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,2,0.925,0.9045454545454550,0.8916666666666670,0.8961038961038960,0.8181818181818180,1.0,0.8,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,3,0.95,0.9444444444444440,0.9444444444444440,0.9375,1.0,1.0,0.7777777777777780,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,5,0.975,0.9583333333333330,0.9791666666666670,0.9664031620553360,0.8333333333333330,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,6,0.95,0.9583333333333330,0.9564393939393940,0.9544984001505740,0.8333333333333330,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,7,0.875,0.9038461538461540,0.8932692307692310,0.8907071189679890,1.0,0.9230769230769230,0.6923076923076920,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,8,0.975,0.984375,0.975,0.9787775891341260,1.0,1.0,0.9375,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,59,9,0.975,0.9583333333333330,0.9807692307692310,0.9672727272727270,0.8333333333333330,1.0,1.0,1.0,4.433672787E-05,0.01,1024,2048,FCE,2
vit_base_patch16_224,Average,0.9575000000000000,0.9577687243312240,0.9562314074814080,0.9542247413634690,0.918008658008658,0.9923076923076920,0.9207585470085470,1.0,4.433672787E-05,0.01,1024,2048,FCE,2,
