Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers
coatnet_1_rw_224.sw_in1k,59,0,0.975,0.9833333333333330,0.9642857142857140,0.9721485411140590,0.9333333333333330,1.0,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,1,0.9,0.9188311688311690,0.9173076923076920,0.9124462494027710,0.8571428571428570,0.8181818181818180,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,3,0.975,0.9722222222222220,0.9791666666666670,0.9744245524296680,1.0,1.0,0.8888888888888890,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,4,0.925,0.9058441558441560,0.9147727272727270,0.9087108543630280,0.9090909090909090,1.0,0.7142857142857140,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,6,0.975,0.9772727272727270,0.9772727272727270,0.9761904761904760,1.0,1.0,0.9090909090909090,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,8,0.925,0.953125,0.9188311688311690,0.9299071618037140,1.0,1.0,0.8125,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.134047274E-05,0.01,1280,32,FCE,1
coatnet_1_rw_224.sw_in1k,59,Average,0.9675,0.9710628607503610,0.9671636696636700,0.9673827835303720,0.9699567099567100,0.9818181818181820,0.9324765512265510,1.0,6.134047274E-05,0.01,1280,32,FCE,1
