Model,Seed,Fold,Accuracy,Precision,Recall,F1,monkey_pox Accuracy,normal Accuracy,chicken_pox Accuracy,acne Accuracy,lr,weight_decay,neurons1,neurons2,loss,n_layers
mobilenetv3_large_100.ra_in1k,59,0,0.9,0.9333333333333330,0.9,0.8990384615384620,0.7333333333333330,1.0,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,1,0.85,0.871103896103896,0.8688311688311690,0.8690476190476190,0.8571428571428570,0.7272727272727270,0.9,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,5,0.95,0.9545454545454550,0.9642857142857140,0.9557692307692310,1.0,1.0,0.8181818181818180,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,6,0.9,0.9041666666666670,0.9333333333333330,0.9065512492622470,0.9166666666666670,0.7,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,7,0.975,0.9722222222222220,0.9821428571428570,0.9760348583878000,0.8888888888888890,1.0,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,8,0.9,0.9375,0.8875,0.9022556390977440,1.0,1.0,0.75,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,9,0.9,0.8611111111111110,0.9375,0.8830357142857140,0.6666666666666670,0.7777777777777780,1.0,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
mobilenetv3_large_100.ra_in1k,59,Average,0.9375,0.9433982683982690,0.9473593073593070,0.9391732772388820,0.9062698412698410,0.9205050505050510,0.9468181818181820,1.0,5.734047274E-05,0.01,1280,3072,FCE,2
